2942,0.0774709,0.0307917,0.169854,-0.0238606,0.012945,0.439994,1.45708,-5.1818,0.0243611,0.11882,0.117644,-0.716942,0.955841,-0.866742,30.8661,-7.84297
2943,0.0782916,0.0324923,0.16954,-0.0301517,0.041799,0.429538,1.8027,0.796389,0.067291,0.140687,-0.031095,-1.48823,1.96021,-0.85699,29.1745,-25.5634
2944,0.0793434,0.0323025,0.172341,-0.0238449,0.053796,0.42171,2.16065,0.604256,0.116588,0.0736923,0.0671909,-0.46252,1.41319,-0.830069,29.0515,-20.0781
2945,0.0808738,0.0332023,0.171641,-0.0206667,0.074996,0.412389,2.46195,0.362553,0.123083,0.0736039,-0.0603826,-0.473968,1.72233,-0.793767,25.3488,-20.2142
2946,0.0826209,0.0324661,0.172296,-0.00968227,0.0908935,0.403498,2.73691,0.163177,0.15477,-0.0229076,-0.0183866,0.0827508,1.70135,-0.88041,22.8924,-18.1301
2947,0.084578,0.0321778,0.170364,-8.52402e-06,0.110532,0.394657,3.00695,-0.0541523,0.145142,-0.0242326,-0.162397,0.103586,1.81891,-0.817444,22.6722,-18.1262
2948,0.0864458,0.03009,0.16978,0.0179231,0.123573,0.388032,3.26686,-0.24204,0.149374,-0.131631,-0.130787,0.72263,1.67866,-0.774952,21.8839,-16.5964
2949,0.0853183,0.0303524,0.173883,0.0178878,0.106502,0.374171,3.45221,-0.376039,0.0431197,-0.0508358,0.0637511,0.808293,-0.447909,-0.944376,18.658,-12.6834
2950,0.0856462,0.0296464,0.173303,0.0275338,0.0960653,0.363803,3.68343,-0.527829,0.0222076,-0.0574736,-0.0502045,1.06017,-0.525404,-0.946103,19.284,-12.6639
2951,0.0844476,0.0296959,0.17402,0.0298358,0.075741,0.347292,3.85265,-0.666386,-0.0631454,-0.0171169,-0.012947,0.8337,-1.26756,-1.33062,15.4252,-11.9038
2952,0.0833005,0.0296722,0.173228,0.0330195,0.055764,0.331057,4.02453,-0.802683,-0.0993674,0.00047013,-0.0663606,0.803277,-1.48194,-1.37032,14.3584,-11.3684
